center,left,right,steering,throttle,reverse,speed
center_2022_09_18_12_03_15_935.jpg,left_2022_09_18_12_03_15_935.jpg,right_2022_09_18_12_03_15_935.jpg,0.0,0.0,0.0,7.978624e-05
center_2022_09_18_12_03_16_749.jpg,left_2022_09_18_12_03_16_749.jpg,right_2022_09_18_12_03_16_749.jpg,-0.06088828,1.0,0.0,3.214743
center_2022_09_18_12_03_16_956.jpg,left_2022_09_18_12_03_16_956.jpg,right_2022_09_18_12_03_16_956.jpg,-0.0527508,1.0,0.0,5.779959
center_2022_09_18_12_03_17_057.jpg,left_2022_09_18_12_03_17_057.jpg,right_2022_09_18_12_03_17_057.jpg,-0.1974975,1.0,0.0,6.913286
center_2022_09_18_12_03_17_262.jpg,left_2022_09_18_12_03_17_262.jpg,right_2022_09_18_12_03_17_262.jpg,-0.0959001,1.0,0.0,9.172904
center_2022_09_18_12_03_17_363.jpg,left_2022_09_18_12_03_17_363.jpg,right_2022_09_18_12_03_17_363.jpg,-0.4012641,1.0,0.0,10.24355
center_2022_09_18_12_03_17_464.jpg,left_2022_09_18_12_03_17_464.jpg,right_2022_09_18_12_03_17_464.jpg,-0.486351,1.0,0.0,11.2689
center_2022_09_18_12_03_17_567.jpg,left_2022_09_18_12_03_17_567.jpg,right_2022_09_18_12_03_17_567.jpg,-0.191178,0.7774298,0.0,12.33963
center_2022_09_18_12_03_17_770.jpg,left_2022_09_18_12_03_17_770.jpg,right_2022_09_18_12_03_17_770.jpg,-0.1318383,0.180526,0.0,13.34065
center_2022_09_18_12_03_17_873.jpg,left_2022_09_18_12_03_17_873.jpg,right_2022_09_18_12_03_17_873.jpg,-0.4291461,0.0,0.0,12.64147
center_2022_09_18_12_03_17_974.jpg,left_2022_09_18_12_03_17_974.jpg,right_2022_09_18_12_03_17_974.jpg,-0.193608,0.0,0.0,13.04156
center_2022_09_18_12_03_18_279.jpg,left_2022_09_18_12_03_18_279.jpg,right_2022_09_18_12_03_18_279.jpg,-0.1923633,0.66734,0.0,13.38067
center_2022_09_18_12_03_18_383.jpg,left_2022_09_18_12_03_18_383.jpg,right_2022_09_18_12_03_18_383.jpg,-0.1867854,0.3688469,0.0,13.69627
center_2022_09_18_12_03_18_690.jpg,left_2022_09_18_12_03_18_690.jpg,right_2022_09_18_12_03_18_690.jpg,-0.2695767,0.0,0.0,13.65951
center_2022_09_18_12_03_18_792.jpg,left_2022_09_18_12_03_18_792.jpg,right_2022_09_18_12_03_18_792.jpg,-0.525014,0.0,0.0,13.20452
center_2022_09_18_12_03_18_894.jpg,left_2022_09_18_12_03_18_894.jpg,right_2022_09_18_12_03_18_894.jpg,-0.2253668,0.1176084,0.0,13.30505
center_2022_09_18_12_03_19_000.jpg,left_2022_09_18_12_03_19_000.jpg,right_2022_09_18_12_03_19_000.jpg,-0.4572678,0.1470441,0.0,13.50116
center_2022_09_18_12_03_19_106.jpg,left_2022_09_18_12_03_19_106.jpg,right_2022_09_18_12_03_19_106.jpg,-0.1585773,0.0,0.0,13.11961
center_2022_09_18_12_03_19_410.jpg,left_2022_09_18_12_03_19_410.jpg,right_2022_09_18_12_03_19_410.jpg,-0.0786102,0.3978549,0.0,13.22305
center_2022_09_18_12_03_19_614.jpg,left_2022_09_18_12_03_19_614.jpg,right_2022_09_18_12_03_19_614.jpg,0.0,0.393605,0.0,14.26396
center_2022_09_18_12_03_19_714.jpg,left_2022_09_18_12_03_19_714.jpg,right_2022_09_18_12_03_19_714.jpg,-0.0767952,0.08867303,0.0,14.42651
center_2022_09_18_12_03_19_815.jpg,left_2022_09_18_12_03_19_815.jpg,right_2022_09_18_12_03_19_815.jpg,-0.3708777,0.0,0.0,14.21798
center_2022_09_18_12_03_19_915.jpg,left_2022_09_18_12_03_19_915.jpg,right_2022_09_18_12_03_19_915.jpg,-0.4069884,0.0,0.0,14.00379
center_2022_09_18_12_03_20_019.jpg,left_2022_09_18_12_03_20_019.jpg,right_2022_09_18_12_03_20_019.jpg,-0.04845214,0.0,0.0,13.8451
center_2022_09_18_12_03_20_229.jpg,left_2022_09_18_12_03_20_229.jpg,right_2022_09_18_12_03_20_229.jpg,0.0,0.5287836,0.0,14.12326
center_2022_09_18_12_03_20_539.jpg,left_2022_09_18_12_03_20_539.jpg,right_2022_09_18_12_03_20_539.jpg,-0.0520143,0.0,0.0,14.54068
center_2022_09_18_12_03_20_643.jpg,left_2022_09_18_12_03_20_643.jpg,right_2022_09_18_12_03_20_643.jpg,-0.3490671,0.0,0.0,14.85871
center_2022_09_18_12_03_20_743.jpg,left_2022_09_18_12_03_20_743.jpg,right_2022_09_18_12_03_20_743.jpg,-0.4142682,0.0,0.0,14.10678
center_2022_09_18_12_03_20_846.jpg,left_2022_09_18_12_03_20_846.jpg,right_2022_09_18_12_03_20_846.jpg,-0.1195755,0.0,0.0,14.47825
center_2022_09_18_12_03_21_050.jpg,left_2022_09_18_12_03_21_050.jpg,right_2022_09_18_12_03_21_050.jpg,-0.08849191,0.0,0.0,14.19907
center_2022_09_18_12_03_21_151.jpg,left_2022_09_18_12_03_21_151.jpg,right_2022_09_18_12_03_21_151.jpg,-0.3910533,0.0,0.0,13.44598
center_2022_09_18_12_03_21_251.jpg,left_2022_09_18_12_03_21_251.jpg,right_2022_09_18_12_03_21_251.jpg,-0.5135148,0.0,0.0,13.73758
center_2022_09_18_12_03_21_352.jpg,left_2022_09_18_12_03_21_352.jpg,right_2022_09_18_12_03_21_352.jpg,-0.2140445,0.0,0.0,13.19547
center_2022_09_18_12_03_21_973.jpg,left_2022_09_18_12_03_21_973.jpg,right_2022_09_18_12_03_21_973.jpg,-0.2753379,0.0,0.0,13.77535
center_2022_09_18_12_03_22_076.jpg,left_2022_09_18_12_03_22_076.jpg,right_2022_09_18_12_03_22_076.jpg,-0.3939681,0.0,0.0,13.50954
center_2022_09_18_12_03_22_181.jpg,left_2022_09_18_12_03_22_181.jpg,right_2022_09_18_12_03_22_181.jpg,-0.07922905,0.0,0.0,13.42352
center_2022_09_18_12_03_23_204.jpg,left_2022_09_18_12_03_23_204.jpg,right_2022_09_18_12_03_23_204.jpg,0.0,0.1415258,0.0,15.25692
center_2022_09_18_12_03_23_307.jpg,left_2022_09_18_12_03_23_307.jpg,right_2022_09_18_12_03_23_307.jpg,-0.2948847,0.0,0.0,15.16041
center_2022_09_18_12_03_23_413.jpg,left_2022_09_18_12_03_23_413.jpg,right_2022_09_18_12_03_23_413.jpg,-0.1788252,0.0,0.0,14.91457
center_2022_09_18_12_03_23_620.jpg,left_2022_09_18_12_03_23_620.jpg,right_2022_09_18_12_03_23_620.jpg,0.0,0.0,0.0,14.65828
center_2022_09_18_12_03_23_721.jpg,left_2022_09_18_12_03_23_721.jpg,right_2022_09_18_12_03_23_721.jpg,0.0,0.188622,0.0,14.48741
center_2022_09_18_12_03_23_924.jpg,left_2022_09_18_12_03_23_924.jpg,right_2022_09_18_12_03_23_924.jpg,-0.1615539,0.5494347,0.0,15.4673
center_2022_09_18_12_03_24_027.jpg,left_2022_09_18_12_03_24_027.jpg,right_2022_09_18_12_03_24_027.jpg,-0.2713671,0.2523614,0.0,15.69786
center_2022_09_18_12_03_24_544.jpg,left_2022_09_18_12_03_24_544.jpg,right_2022_09_18_12_03_24_544.jpg,-0.0750468,0.8025828,0.0,16.34601
center_2022_09_18_12_03_24_647.jpg,left_2022_09_18_12_03_24_647.jpg,right_2022_09_18_12_03_24_647.jpg,-0.3811746,0.5339789,0.0,16.872
center_2022_09_18_12_03_24_747.jpg,left_2022_09_18_12_03_24_747.jpg,right_2022_09_18_12_03_24_747.jpg,-0.08740351,0.2402078,0.0,17.31576
center_2022_09_18_12_03_25_051.jpg,left_2022_09_18_12_03_25_051.jpg,right_2022_09_18_12_03_25_051.jpg,-0.0797682,0.0,0.0,16.47474
center_2022_09_18_12_03_25_152.jpg,left_2022_09_18_12_03_25_152.jpg,right_2022_09_18_12_03_25_152.jpg,-0.3173784,0.0,0.0,16.78469
center_2022_09_18_12_03_25_459.jpg,left_2022_09_18_12_03_25_459.jpg,right_2022_09_18_12_03_25_459.jpg,-0.0978429,0.0,0.0,16.2692
center_2022_09_18_12_03_25_564.jpg,left_2022_09_18_12_03_25_564.jpg,right_2022_09_18_12_03_25_564.jpg,-0.3963543,0.0,0.0,15.52477
center_2022_09_18_12_03_25_665.jpg,left_2022_09_18_12_03_25_665.jpg,right_2022_09_18_12_03_25_665.jpg,-0.2750151,0.0,0.0,15.84567
center_2022_09_18_12_03_26_182.jpg,left_2022_09_18_12_03_26_182.jpg,right_2022_09_18_12_03_26_182.jpg,-0.3281889,0.0,0.0,15.00437
center_2022_09_18_12_03_26_287.jpg,left_2022_09_18_12_03_26_287.jpg,right_2022_09_18_12_03_26_287.jpg,-0.4047195,0.0,0.0,14.25492
center_2022_09_18_12_03_26_390.jpg,left_2022_09_18_12_03_26_390.jpg,right_2022_09_18_12_03_26_390.jpg,-0.1154544,0.0,0.0,14.59185
center_2022_09_18_12_03_27_112.jpg,left_2022_09_18_12_03_27_112.jpg,right_2022_09_18_12_03_27_112.jpg,-0.2860563,0.0,0.0,13.51576
center_2022_09_18_12_03_27_213.jpg,left_2022_09_18_12_03_27_213.jpg,right_2022_09_18_12_03_27_213.jpg,-0.2252685,0.0,0.0,12.81433
center_2022_09_18_12_03_27_730.jpg,left_2022_09_18_12_03_27_730.jpg,right_2022_09_18_12_03_27_730.jpg,0.0,0.4867763,0.0,13.48309
center_2022_09_18_12_03_28_763.jpg,left_2022_09_18_12_03_28_763.jpg,right_2022_09_18_12_03_28_763.jpg,-0.0781188,0.0,0.0,13.58037
center_2022_09_18_12_03_28_867.jpg,left_2022_09_18_12_03_28_867.jpg,right_2022_09_18_12_03_28_867.jpg,-0.3887475,0.137928,0.0,13.86014
center_2022_09_18_12_03_28_968.jpg,left_2022_09_18_12_03_28_968.jpg,right_2022_09_18_12_03_28_968.jpg,-0.2542662,0.1471245,0.0,13.41041
center_2022_09_18_12_03_29_684.jpg,left_2022_09_18_12_03_29_684.jpg,right_2022_09_18_12_03_29_684.jpg,-0.2943,0.0,0.0,13.30698
center_2022_09_18_12_03_30_198.jpg,left_2022_09_18_12_03_30_198.jpg,right_2022_09_18_12_03_30_198.jpg,-0.2385372,0.0,0.0,12.55121
center_2022_09_18_12_03_30_299.jpg,left_2022_09_18_12_03_30_299.jpg,right_2022_09_18_12_03_30_299.jpg,-0.1503015,0.0,0.0,12.94806
center_2022_09_18_12_03_30_608.jpg,left_2022_09_18_12_03_30_608.jpg,right_2022_09_18_12_03_30_608.jpg,0.0,0.0900318,0.0,11.99822
center_2022_09_18_12_03_30_811.jpg,left_2022_09_18_12_03_30_811.jpg,right_2022_09_18_12_03_30_811.jpg,0.0,0.341954,0.0,12.90206
center_2022_09_18_12_03_31_219.jpg,left_2022_09_18_12_03_31_219.jpg,right_2022_09_18_12_03_31_219.jpg,-0.1047273,0.0,0.0,12.65815
center_2022_09_18_12_03_31_321.jpg,left_2022_09_18_12_03_31_321.jpg,right_2022_09_18_12_03_31_321.jpg,-0.3960045,0.0,0.0,12.23185
center_2022_09_18_12_03_31_426.jpg,left_2022_09_18_12_03_31_426.jpg,right_2022_09_18_12_03_31_426.jpg,-0.2247246,0.0,0.0,12.40918
center_2022_09_18_12_03_31_839.jpg,left_2022_09_18_12_03_31_839.jpg,right_2022_09_18_12_03_31_839.jpg,-0.1836141,0.0,0.0,11.56503
center_2022_09_18_12_03_31_939.jpg,left_2022_09_18_12_03_31_939.jpg,right_2022_09_18_12_03_31_939.jpg,-0.4862611,0.0,0.0,11.60907
center_2022_09_18_12_03_32_041.jpg,left_2022_09_18_12_03_32_041.jpg,right_2022_09_18_12_03_32_041.jpg,-0.3093255,0.0,0.0,11.21624
center_2022_09_18_12_03_32_448.jpg,left_2022_09_18_12_03_32_448.jpg,right_2022_09_18_12_03_32_448.jpg,-0.227811,0.0,0.0,10.93462
center_2022_09_18_12_03_32_551.jpg,left_2022_09_18_12_03_32_551.jpg,right_2022_09_18_12_03_32_551.jpg,-0.3408876,0.0,0.0,10.76828
center_2022_09_18_12_03_32_654.jpg,left_2022_09_18_12_03_32_654.jpg,right_2022_09_18_12_03_32_654.jpg,-0.04167871,0.0,0.0,10.66137
center_2022_09_18_12_03_33_380.jpg,left_2022_09_18_12_03_33_380.jpg,right_2022_09_18_12_03_33_380.jpg,-0.239211,0.0,0.0,11.32984
center_2022_09_18_12_03_33_485.jpg,left_2022_09_18_12_03_33_485.jpg,right_2022_09_18_12_03_33_485.jpg,-0.2702133,0.0995154,0.0,11.11139
center_2022_09_18_12_03_33_688.jpg,left_2022_09_18_12_03_33_688.jpg,right_2022_09_18_12_03_33_688.jpg,0.0,0.5171279,0.0,11.74743
center_2022_09_18_12_03_34_923.jpg,left_2022_09_18_12_03_34_923.jpg,right_2022_09_18_12_03_34_923.jpg,-0.2953335,0.0,0.0,12.80686
center_2022_09_18_12_03_35_025.jpg,left_2022_09_18_12_03_35_025.jpg,right_2022_09_18_12_03_35_025.jpg,-0.4015947,0.0,0.0,12.88172
center_2022_09_18_12_03_35_129.jpg,left_2022_09_18_12_03_35_129.jpg,right_2022_09_18_12_03_35_129.jpg,-0.100053,0.0,0.0,12.46984
center_2022_09_18_12_03_35_748.jpg,left_2022_09_18_12_03_35_748.jpg,right_2022_09_18_12_03_35_748.jpg,0.0,0.0,0.0,13.08729
center_2022_09_18_12_03_36_059.jpg,left_2022_09_18_12_03_36_059.jpg,right_2022_09_18_12_03_36_059.jpg,-0.1039395,0.0,0.0,12.61945
center_2022_09_18_12_03_36_160.jpg,left_2022_09_18_12_03_36_160.jpg,right_2022_09_18_12_03_36_160.jpg,-0.3329949,0.0,0.0,12.21089
center_2022_09_18_12_03_36_262.jpg,left_2022_09_18_12_03_36_262.jpg,right_2022_09_18_12_03_36_262.jpg,-0.04416595,0.0,0.0,12.31754
center_2022_09_18_12_03_36_568.jpg,left_2022_09_18_12_03_36_568.jpg,right_2022_09_18_12_03_36_568.jpg,0.0,0.0,0.0,11.71257
center_2022_09_18_12_03_37_181.jpg,left_2022_09_18_12_03_37_181.jpg,right_2022_09_18_12_03_37_181.jpg,0.0,0.0,0.0,12.32662
center_2022_09_18_12_03_37_283.jpg,left_2022_09_18_12_03_37_283.jpg,right_2022_09_18_12_03_37_283.jpg,-0.1009395,0.0,0.0,11.84718
center_2022_09_18_12_03_37_386.jpg,left_2022_09_18_12_03_37_386.jpg,right_2022_09_18_12_03_37_386.jpg,-0.2615388,0.0,0.0,11.9229
center_2022_09_18_12_03_37_698.jpg,left_2022_09_18_12_03_37_698.jpg,right_2022_09_18_12_03_37_698.jpg,0.0,0.0,0.0,11.52382
center_2022_09_18_12_03_37_799.jpg,left_2022_09_18_12_03_37_799.jpg,right_2022_09_18_12_03_37_799.jpg,-0.1759716,0.0,0.0,11.27993
center_2022_09_18_12_03_37_904.jpg,left_2022_09_18_12_03_37_904.jpg,right_2022_09_18_12_03_37_904.jpg,-0.3700314,0.0,0.0,11.1555
center_2022_09_18_12_03_38_010.jpg,left_2022_09_18_12_03_38_010.jpg,right_2022_09_18_12_03_38_010.jpg,-0.07376999,0.0,0.0,11.04878
center_2022_09_18_12_03_38_526.jpg,left_2022_09_18_12_03_38_526.jpg,right_2022_09_18_12_03_38_526.jpg,0.0,0.4584099,0.0,11.33435
center_2022_09_18_12_03_38_733.jpg,left_2022_09_18_12_03_38_733.jpg,right_2022_09_18_12_03_38_733.jpg,-0.1050702,0.0,0.0,11.85614
center_2022_09_18_12_03_38_838.jpg,left_2022_09_18_12_03_38_838.jpg,right_2022_09_18_12_03_38_838.jpg,-0.4547628,0.0,0.0,11.54014
center_2022_09_18_12_03_38_939.jpg,left_2022_09_18_12_03_38_939.jpg,right_2022_09_18_12_03_38_939.jpg,-0.1500912,0.0,0.0,11.82711
